,feature,score
0,goalNoGoal_quote_diffRealCurrNG,-0.5371072412565856
1,underOver_chance_under45,-0.6301355433633111
2,underOver_chance_over45,-0.6301355433633111
3,chance1x2_quote_diffInitialCurr1,-0.7508020807535687
4,goalNoGoal_stats_avgGoalTakenAway,-0.8237445600776255
5,underOver_quote_initialU,-0.8646484852605303
6,goalNoGoal_bookkeeping_gg,-0.8792839940619166
7,goalNoGoal_bookkeeping_ng,-0.8792839940619166
8,chance1x2_quote_diffRealCurrx,-0.8848403753252644
9,goalNoGoal_quote_currentNG,-0.9004794288537877
10,goalNoGoal_quote_initialNG,-0.9070004268121424
11,goalNoGoal_quote_realNG,-1.0011811566051743
12,goalNoGoal_stats_avgGoalHome,-1.0389107992280822
13,goalNoGoal_multigoal_m35,-1.0527635802825743
14,goalNoGoal_stats_avgGoalTakenHome,-1.0690168498857313
15,chance1x2_quote_initialx,-1.0880855481966032
16,underOver_quote_diffRealCurrU,-1.159387499949084
17,underOver_quote_diffRealCurrO,-1.165278598111694
18,chance1x2_quote_initial2,-1.1678630924452997
19,underOver_bookkeeping_u,-1.1798419197894545
20,underOver_bookkeeping_o,-1.1798419197894545
21,chance1x2_xg_total,-1.2627975241470337
22,chance1x2_quote_current2,-1.28741695645478
23,chance1x2_quote_currentx,-1.3415201974961246
24,underOver_bookkeeping_actual,-1.3992369080143665
25,chance1x2_quote_diffRealCurr2,-1.420182850646015
26,chance1x2_quote_realx,-1.432073454510702
27,underOver_chance_under35,-1.442390587666169
28,underOver_chance_over35,-1.442390587666169
29,underOver_flashback_under35,-1.4461767848657927
30,underOver_flashback_over35,-1.4461767848657927
31,underOver_chance_under25,-1.4515250335450374
32,underOver_chance_over25,-1.4515250335450374
33,chance1x2_quote_diffInitialCurrx,-1.4534042587627896
34,goalNoGoal_comparison_flashback,-1.4634560364969593
35,goalNoGoal_comparison_affini,-1.4688861521440735
36,evaluation_valMetrica,-1.4780463164845636
37,chance1x2_bookkeeping_px,-1.478505285570496
38,chance1x2_chance_px,-1.4836936171921082
39,underOver_quote_realO,-1.4986293475805048
40,chance1x2_quote_diffInitialCurr2,-1.5205114789581706
41,underOver_flashback_under25,-1.520579903961412
42,underOver_flashback_over25,-1.520579903961412
43,chance1x2_chance_p12,-1.5298686054428106
44,chance1x2_quote_real1,-1.55090211142579
45,goalNoGoal_stats_avgGoalAway,-1.5684251756694907
46,goalNoGoal_chance_goalAway,-1.5767047724663872
47,underOver_quote_realU,-1.5971308850424069
48,goalNoGoal_multigoal_m24Away,-1.5996970694975328
49,chance1x2_flashback_pHtx,-1.6017271560791042
50,goalNoGoal_quote_realGG,-1.6124284750195421
51,goalNoGoal_quote_initialGG,-1.6191416536469692
