,feature,score
0,chance1x2_xg_away,0.944541388200119
1,chance1x2_xg_total,0.661146638060381
2,chance1x2_xg_home,0.3780831987963995
3,goalNoGoal_comparison_affini,0.3383829333400864
4,underOver_comparison_affini,-0.3793669720678132
5,chance1x2_quote_initial2,-0.4475725926923625
6,chance1x2_quote_diffRealCurr1,-0.4485579476525383
7,goalNoGoal_quote_diffRealCurrNG,-0.4494526498733973
8,chance1x2_chance_p2,-0.48874705607029595
9,chance1x2_chance_p1x,-0.48874705607029595
10,underOver_quote_realU,-0.5113646888838449
11,evaluation_valUnderOver,-0.5150429612317067
12,chance1x2_quote_current2,-0.5153180785516482
13,chance1x2_bookkeeping_p2,-0.5159659831653977
14,underOver_quote_diffInitialCurrO,-0.5448957346576211
15,underOver_quote_currentO,-0.5619720462421914
16,chance1x2_quote_diffRealCurrx,-0.7451457289997142
17,goalNoGoal_stats_avgGoalTakenAway,-0.7535022691729407
18,goalNoGoal_flashback_m24,-0.7625872454681454
19,chance1x2_quote_real1,-0.764525287045806
20,goalNoGoal_multigoal_m24Away,-0.7659346849147712
21,chance1x2_quote_real2,-0.8186142758228718
22,underOver_chance_over052HT,-0.8358594222704823
23,goalNoGoal_comparison_flashback,-0.8377602230554738
24,chance1x2_chance_px,-0.8415393084918519
25,chance1x2_chance_p12,-0.8415393084918519
26,goalNoGoal_quote_realNG,-0.8603597231430251
27,underOver_bookkeeping_status,-0.8708918877810341
28,goalNoGoal_quote_initialGG,-0.8733790439541975
29,underOver_quote_diffRealCurrU,-0.887349207040794
30,goalNoGoal_quote_currentGG,-0.901305476930973
31,goalNoGoal_bookkeeping_actual,-0.9013305926851944
32,goalNoGoal_multigoal_m24Home,-0.901676523371755
33,evaluation_valMetrica,-0.9243151114597791
34,goalNoGoal_stats_avgGoalAway,-0.9528186031965432
35,chance1x2_quote_diffRealCurr2,-0.9563405537155856
36,chance1x2_chance_pHtx,-0.9585698134485026
37,chance1x2_chance_p2Ht12,-0.9585698134485026
38,chance1x2_chance_p2Ht1x,-0.9848560098028647
39,chance1x2_bookkeeping_px,-0.9898016174012453
40,goalNoGoal_chance_even,-0.9948887969892957
41,goalNoGoal_chance_odd,-0.9948887969892957
42,underOver_quote_initialO,-0.9992059660735012
43,goalNoGoal_stats_avgGoalTakenHome,-1.0044255656865602
44,underOver_quote_realO,-1.0227764012955773
45,goalNoGoal_stats_avgGoalHome,-1.0235146598161093
46,underOver_quote_diffRealCurrO,-1.06321988285599
47,underOver_flashback_under35,-1.083358784517476
48,underOver_flashback_over35,-1.083358784517476
49,chance1x2_quote_diffInitialCurr2,-1.1095391434939996
50,chance1x2_quote_initialx,-1.1101390153800832
51,goalNoGoal_chance_goalHome,-1.116902532693505
52,chance1x2_quote_diffInitialCurr1,-1.157666555998084
53,chance1x2_flashback_pHt1,-1.162928769711675
54,goalNoGoal_multigoal_m13Home,-1.171511469230944
55,underOver_quote_currentU,-1.1763889746382288
56,goalNoGoal_quote_diffInitialCurrGG,-1.1832437763846468
57,goalNoGoal_multigoal_m13Away,-1.1933200025013617
58,goalNoGoal_chance_goalAway,-1.2033566866777512
59,underOver_chance_under05HT,-1.2394445258495876
60,underOver_chance_over05HT,-1.2394445258495876
61,chance1x2_quote_currentx,-1.2423126583507909
62,evaluation_val1x2,-1.2693005142946927
63,underOver_chance_over25,-1.2698121971649403
64,goalNoGoal_quote_diffRealCurrGG,-1.2794649523435306
65,underOver_chance_under25,-1.2916511190720867
66,underOver_chance_under15HT,-1.3068005532293867
67,underOver_chance_over15HT,-1.3068005532293867
68,underOver_bookkeeping_avg,-1.3383859934049767
69,chance1x2_flashback_pHtx,-1.3434223678346386
70,underOver_flashback_under05HT,-1.3484093784417586
71,evaluation_valScala,-1.362351075707597
72,underOver_chance_under45,-1.37017234602809
73,underOver_chance_over45,-1.37017234602809
74,goalNoGoal_bookkeeping_status,-1.3805333272469016
75,underOver_chance_under052HT,-1.3824999811170144
76,chance1x2_chance_p1,-1.382733037452959
77,chance1x2_chance_p2x,-1.382733037452959
78,underOver_bookkeeping_u,-1.4093626452238905
79,underOver_bookkeeping_o,-1.4093626452238905
80,underOver_chance_under35,-1.4198627165530753
81,underOver_chance_over35,-1.4198627165530753
82,chance1x2_chance_pHt1,-1.430533404900291
83,goalNoGoal_flashback_goal,-1.4382008119324878
84,goalNoGoal_flashback_noGoal,-1.4382008119324878
85,goalNoGoal_quote_realGG,-1.447318832204999
86,chance1x2_bookkeeping_actual,-1.4592417298132956
87,underOver_bookkeeping_actual,-1.472605237494539
88,underOver_quote_initialU,-1.493011490256143
89,chance1x2_chance_p2Ht2x,-1.511028117439504
90,goalNoGoal_multigoal_m24,-1.5244488176291853
91,goalNoGoal_multigoal_m13,-1.5331891187747948
92,chance1x2_comparison_flashback,-1.5358275647832675
93,underOver_quote_diffInitialCurrU,-1.5428739294199882
94,chance1x2_quote_realx,-1.5545511021095497
95,chance1x2_flashback_p2,-1.5693183878444452
96,chance1x2_chance_pHt2,-1.591040697981944
97,goalNoGoal_quote_diffInitialCurrNG,-1.5924737952780148
98,chance1x2_bookkeeping_p1,-1.6035797382686239
99,chance1x2_quote_initial1,-1.6165909171671053
100,goalNoGoal_bookkeeping_gg,-1.626334414013005
101,goalNoGoal_bookkeeping_ng,-1.626334414013005
102,chance1x2_bookkeeping_avg,-1.6442882387376831
103,goalNoGoal_multigoal_m14,-1.6526291380254263
104,underOver_flashback_under25,-1.6659829993173059
105,underOver_flashback_over25,-1.6659829993173059
106,chance1x2_flashback_px,-1.6701727967731372
107,goalNoGoal_flashback_m35,-1.7288806124996015
108,underOver_flashback_under15,-1.7292976361903245
109,underOver_flashback_over15,-1.7292976361903245
110,goalNoGoal_multigoal_m35,-1.734127874019179
111,goalNoGoal_chance_noGoal,-1.7480742292410945
112,chance1x2_flashback_p1,-1.7595324438057907
113,goalNoGoal_quote_initialNG,-1.7596867107260674
114,goalNoGoal_chance_goal,-1.7629426644764887
115,underOver_flashback_over05HT,-1.7685697554564572
116,chance1x2_comparison_affini,-1.7803667275032327
117,underOver_chance_under15,-1.7981996751060898
118,underOver_chance_over15,-1.799008071267875
119,goalNoGoal_bookkeeping_avg,-1.826830665073842
120,underOver_comparison_flashback,-1.886489824468072
121,goalNoGoal_quote_currentNG,-1.9139208502479326
122,chance1x2_quote_diffInitialCurrx,-2.0973575065067167
123,goalNoGoal_flashback_m13,-2.3734046331430227
124,chance1x2_bookkeeping_status,-2.464415733458054
125,chance1x2_flashback_pHt2,-2.5301818489072643
126,goalNoGoal_bookkeeping_arrow,-2.8407093531622016
127,chance1x2_quote_current1,-3.046128582452674
128,chance1x2_bookkeeping_arrow,-3.048246051809978
129,underOver_bookkeeping_arrow,-3.1321376302040296
130,chance1x2_xg,-4.662527777130876
