,feature,score
0,chance1x2_xg_away,3.541533182095325
1,chance1x2_flashback_pHt1,-0.3126483270334518
2,chance1x2_xg_home,-0.5454019218519501
3,chance1x2_quote_diffInitialCurr2,-0.7515707549185721
4,chance1x2_xg_total,-0.8137883229698732
5,chance1x2_flashback_p1,-0.8574126573886365
6,chance1x2_flashback_p2,-0.8693199255397808
7,chance1x2_quote_current2,-0.8702873802503297
8,chance1x2_chance_p2Ht2x,-0.9624718572315808
9,chance1x2_chance_p1x,-0.9768506297006663
10,chance1x2_chance_p2,-0.9890545427414018
11,chance1x2_quote_real2,-1.0091977324965606
12,chance1x2_quote_diffRealCurr2,-1.0831938044945506
13,chance1x2_quote_initial2,-1.0918930041420587
14,chance1x2_quote_currentx,-1.1095440478092076
15,chance1x2_bookkeeping_p1,-1.1502952282655268
16,chance1x2_chance_pHt1,-1.2182157280002455
17,chance1x2_bookkeeping_px,-1.2465110986346994
18,chance1x2_chance_p12,-1.253887567281135
19,chance1x2_chance_pHt2,-1.264607943231319
20,chance1x2_chance_p2Ht1x,-1.264607943231319
21,underOver_quote_initialO,-1.2671762842367778
22,underOver_quote_diffRealCurrO,-1.2786523790410957
23,chance1x2_quote_diffInitialCurr1,-1.4986788809267735
24,chance1x2_chance_p1,-1.5375813339084323
25,chance1x2_chance_p2x,-1.5375813339084323
26,underOver_quote_currentO,-1.5459737644848337
27,goalNoGoal_quote_diffRealCurrGG,-1.566509944054678
28,chance1x2_quote_diffRealCurr1,-1.5734848724522934
29,underOver_quote_diffRealCurrU,-1.5796978110094253
30,goalNoGoal_multigoal_m24Away,-1.6224657022571338
31,chance1x2_quote_initialx,-1.6680609013996348
32,goalNoGoal_chance_even,-1.6722127977672745
33,goalNoGoal_chance_odd,-1.6722127977672745
34,goalNoGoal_stats_avgGoalTakenAway,-1.6734329626449433
35,goalNoGoal_quote_diffInitialCurrGG,-1.6956225862836278
36,underOver_bookkeeping_u,-1.723531528140125
37,underOver_bookkeeping_o,-1.723531528140125
38,chance1x2_flashback_pHtx,-1.751389266436386
39,underOver_bookkeeping_actual,-1.7671463685805104
40,goalNoGoal_comparison_affini,-1.7928691844121816
41,underOver_quote_realU,-1.797285943123784
42,chance1x2_bookkeeping_p2,-1.8372111612262683
43,underOver_quote_realO,-1.8706559176736177
44,chance1x2_flashback_pHt2,-1.8855891880086344
45,underOver_quote_diffInitialCurrU,-1.9071059235377983
46,goalNoGoal_multigoal_m13Away,-1.9106133730299433
47,chance1x2_chance_px,-1.9241981873381686
48,goalNoGoal_multigoal_m35,-1.9281203601930816
49,goalNoGoal_chance_goalAway,-1.9380291623074855
50,chance1x2_quote_diffRealCurrx,-1.9396620749203155
51,goalNoGoal_flashback_m24,-1.9497276261461485
52,goalNoGoal_comparison_flashback,-2.0108624672102122
53,goalNoGoal_multigoal_m24Home,-2.0114331819736178
54,goalNoGoal_quote_diffRealCurrNG,-2.016414102715753
55,goalNoGoal_stats_avgGoalHome,-2.0327889938440857
56,chance1x2_quote_realx,-2.039942225663597
57,goalNoGoal_quote_currentNG,-2.0762098259198334
58,underOver_chance_under35,-2.083874634767976
59,underOver_chance_over35,-2.083874634767976
60,underOver_quote_diffInitialCurrO,-2.170914295276847
61,goalNoGoal_quote_realGG,-2.204014392971378
62,underOver_chance_under15HT,-2.2617050643733076
63,underOver_chance_over15HT,-2.2617050643733076
64,underOver_chance_under25,-2.2724186167909335
65,underOver_chance_over25,-2.2724186167909335
66,goalNoGoal_stats_avgGoalTakenHome,-2.273474726498661
67,underOver_flashback_under15,-2.2759019688676796
68,underOver_flashback_over15,-2.2759019688676796
69,underOver_chance_under15,-2.3289314645657466
70,underOver_flashback_under25,-2.333405186729704
71,underOver_flashback_over25,-2.333405186729704
72,goalNoGoal_quote_initialGG,-2.343371153704387
73,goalNoGoal_multigoal_m13Home,-2.3640421863401655
74,underOver_chance_over15,-2.372002469142979
75,goalNoGoal_quote_realNG,-2.3789857245095636
76,goalNoGoal_quote_currentGG,-2.381146253315043
77,evaluation_valMetrica,-2.3867519027691664
78,underOver_bookkeeping_status,-2.392787737607663
79,underOver_comparison_flashback,-2.4113103060359466
80,goalNoGoal_multigoal_m13,-2.412632881935664
81,underOver_flashback_under05HT,-2.430325470037298
82,underOver_flashback_over05HT,-2.430325470037298
83,goalNoGoal_multigoal_m14,-2.4392528808224
84,underOver_quote_currentU,-2.447737073307705
85,goalNoGoal_flashback_goal,-2.4543315151752574
86,goalNoGoal_flashback_noGoal,-2.4543315151752574
87,goalNoGoal_quote_diffInitialCurrNG,-2.4663383982461125
88,goalNoGoal_stats_avgGoalAway,-2.4835711992072955
