,feature,score
0,goalNoGoal_multigoal_m13,-0.7609052349417668
1,chance1x2_quote_diffRealCurr2,-0.8638960525582875
2,goalNoGoal_bookkeeping_gg,-0.8874327655951786
3,goalNoGoal_bookkeeping_ng,-0.8874327655951786
4,goalNoGoal_stats_avgGoalTakenHome,-0.9317673447332137
5,goalNoGoal_stats_avgGoalAway,-0.9775704773300664
6,chance1x2_quote_diffInitialCurr2,-0.9811015884656423
7,underOver_quote_realU,-1.1012686537781677
8,chance1x2_quote_diffInitialCurrx,-1.116472237207307
9,underOver_quote_realO,-1.1260264673238751
10,goalNoGoal_chance_goalHome,-1.1337120539796242
11,chance1x2_quote_current1,-1.174902700207812
12,underOver_quote_diffRealCurrU,-1.190067051202913
13,chance1x2_quote_diffInitialCurr1,-1.2144537960379436
14,underOver_quote_diffRealCurrO,-1.231671112249178
15,chance1x2_quote_diffRealCurrx,-1.2524710959979748
16,goalNoGoal_chance_goalAway,-1.2878621146145997
17,underOver_flashback_over05HT,-1.2935587042969858
18,chance1x2_quote_realx,-1.3126122830950482
19,goalNoGoal_stats_avgGoalHome,-1.320659693883362
20,chance1x2_quote_real1,-1.3488710455377277
21,underOver_chance_under15HT,-1.3577019737148572
22,underOver_chance_over15HT,-1.3577019737148572
23,goalNoGoal_chance_even,-1.3592308208827462
24,goalNoGoal_chance_odd,-1.3592308208827462
25,goalNoGoal_stats_avgGoalTakenAway,-1.36942210241059
26,goalNoGoal_quote_realNG,-1.3884931850598716
27,chance1x2_flashback_p2,-1.3892203971017534
28,chance1x2_quote_diffRealCurr1,-1.4185378514511426
29,goalNoGoal_multigoal_m24Home,-1.4432604316744115
30,goalNoGoal_multigoal_m24Away,-1.4531614215668935
31,chance1x2_quote_initial1,-1.4533155672496854
32,chance1x2_flashback_pHt2,-1.4637263693711715
33,goalNoGoal_quote_diffRealCurrGG,-1.4772549673068196
34,underOver_flashback_under25,-1.478836839269314
35,underOver_bookkeeping_actual,-1.4803221076259834
36,goalNoGoal_chance_goal,-1.509323833957496
37,goalNoGoal_chance_noGoal,-1.509323833957496
38,goalNoGoal_quote_diffInitialCurrGG,-1.5113376775773766
39,underOver_flashback_under05HT,-1.5171604517554667
40,goalNoGoal_flashback_m13,-1.5230769230769232
41,chance1x2_chance_p2Ht12,-1.5416488260175845
42,underOver_chance_under45,-1.5453213372778591
43,underOver_chance_over45,-1.5453213372778591
