,feature,score
0,chance1x2_quote_current1,-0.4688170346776945
1,chance1x2_bookkeeping_p1,-0.503650384934988
2,chance1x2_quote_real1,-0.6614719390984753
3,evaluation_valMetrica,-0.6694418581016179
4,chance1x2_bookkeeping_p2,-0.6959951346241933
5,chance1x2_chance_p2,-0.7201011760995186
6,chance1x2_chance_p1x,-0.7201011760995186
7,goalNoGoal_quote_diffRealCurrNG,-0.7714723473385725
8,chance1x2_quote_diffRealCurr2,-0.7731065242368593
9,chance1x2_bookkeeping_px,-0.8589523536411234
10,chance1x2_quote_initial1,-0.8754188734590996
11,chance1x2_xg_total,-0.8759052610106512
12,chance1x2_flashback_pHtx,-0.8869995801411834
13,chance1x2_flashback_p2,-1.005938578333819
14,chance1x2_quote_diffRealCurr1,-1.0086423741652186
15,chance1x2_chance_pHt2,-1.0356142692858703
16,chance1x2_chance_p2Ht1x,-1.0356142692858703
17,chance1x2_xg_diff,-1.0635903284136716
18,chance1x2_flashback_pHt2,-1.0678840095546787
19,chance1x2_quote_diffInitialCurr2,-1.0714378209858089
20,chance1x2_quote_current2,-1.0892599840671755
21,chance1x2_chance_p1,-1.095702767948819
22,chance1x2_chance_p2x,-1.095702767948819
23,chance1x2_quote_diffInitialCurr1,-1.0988610471700615
24,chance1x2_quote_initialx,-1.133592765888663
25,goalNoGoal_stats_avgGoalAway,-1.1478577279762225
26,chance1x2_quote_initial2,-1.1873365599509698
27,goalNoGoal_quote_realNG,-1.2082623144830105
28,chance1x2_flashback_p1,-1.2219650809013722
29,chance1x2_quote_currentx,-1.2348119262905761
30,goalNoGoal_comparison_flashback,-1.2361468557557553
31,goalNoGoal_stats_avgGoalHome,-1.2796309163971114
32,chance1x2_quote_diffInitialCurrx,-1.2824486056829822
33,chance1x2_quote_diffRealCurrx,-1.2978613150406135
34,underOver_chance_under35,-1.330959234578047
35,underOver_chance_over35,-1.330959234578047
36,chance1x2_quote_realx,-1.3355205794349534
37,goalNoGoal_flashback_m24,-1.3428084327395036
38,underOver_quote_diffInitialCurrO,-1.345803620254479
39,underOver_quote_diffRealCurrO,-1.3479751536081064
40,underOver_quote_realO,-1.3533910976755446
41,chance1x2_flashback_px,-1.3568843263683963
42,chance1x2_flashback_pHt1,-1.3644460611566152
43,underOver_quote_initialU,-1.371373207831212
44,chance1x2_chance_p2Ht2x,-1.3729337864352875
45,chance1x2_chance_pHt1,-1.4141273721662773
46,goalNoGoal_quote_diffRealCurrGG,-1.4165695804017604
47,goalNoGoal_quote_realGG,-1.4518323743461545
48,goalNoGoal_multigoal_m24Away,-1.4713278463799717
49,underOver_comparison_flashback,-1.487699651805982
50,underOver_quote_realU,-1.520403786477788
51,goalNoGoal_multigoal_m24Home,-1.5221976852198884
52,underOver_quote_diffRealCurrU,-1.525684003734026
53,chance1x2_chance_p12,-1.52896116722225
54,goalNoGoal_stats_avgGoalTakenHome,-1.533045572015274
