,feature,score
0,chance1x2_xg_away,1.2466742174421435
1,chance1x2_chance_p12,-0.7455906085806181
2,goalNoGoal_stats_avgGoalTakenAway,-0.7630130242254693
3,chance1x2_quote_diffRealCurrx,-0.8137150736004946
4,chance1x2_quote_current2,-1.0338582136912833
5,goalNoGoal_multigoal_m24Away,-1.0363129192436489
6,chance1x2_quote_currentx,-1.0552112898196147
7,goalNoGoal_quote_realNG,-1.198711601211404
8,underOver_quote_realU,-1.2204659849527986
9,goalNoGoal_multigoal_m13Away,-1.2211355401107737
10,chance1x2_flashback_pHtx,-1.2453830354647666
11,goalNoGoal_quote_diffInitialCurrGG,-1.248711740940435
12,chance1x2_quote_initialx,-1.2728701455463303
13,goalNoGoal_stats_avgGoalAway,-1.3414856429631865
14,chance1x2_quote_diffInitialCurr1,-1.3782834486422815
15,goalNoGoal_quote_diffRealCurrNG,-1.3929381696350895
16,chance1x2_quote_initial1,-1.4010365515883603
17,chance1x2_quote_real1,-1.407990885137308
18,chance1x2_bookkeeping_px,-1.4192267335437576
19,chance1x2_quote_realx,-1.4204947858325354
20,chance1x2_quote_diffInitialCurrx,-1.439353815626376
21,underOver_chance_under35,-1.458634632867649
22,underOver_chance_over35,-1.458634632867649
23,chance1x2_quote_diffRealCurr2,-1.4620196937276946
24,goalNoGoal_quote_diffRealCurrGG,-1.4715556800601872
25,underOver_bookkeeping_actual,-1.5019547706557652
26,chance1x2_chance_p2Ht2x,-1.5074309690761905
27,chance1x2_quote_initial2,-1.5120293174260233
28,chance1x2_chance_p1,-1.522099376660896
29,chance1x2_chance_p2x,-1.522099376660896
30,evaluation_valMetrica,-1.527628223928745
31,goalNoGoal_quote_currentNG,-1.534318512206509
32,chance1x2_chance_pHt1,-1.5427710593938326
33,chance1x2_quote_diffRealCurr1,-1.5637409818263268
34,goalNoGoal_comparison_flashback,-1.5640569599694185
35,goalNoGoal_quote_initialGG,-1.580089835685929
36,chance1x2_bookkeeping_p1,-1.5950491541921628
