,feature,score
0,underOver_quote_diffRealCurrO,-1.1146759189522548
1,underOver_quote_currentO,-1.277523055944471
2,underOver_quote_initialO,-1.2997761006974262
3,underOver_quote_diffInitialCurrU,-1.3111641863640289
4,chance1x2_quote_diffRealCurr2,-1.514635094680769
5,chance1x2_quote_diffInitialCurr1,-1.5353806833344212
6,underOver_bookkeeping_u,-1.5501954257899042
7,underOver_bookkeeping_o,-1.5501954257899042
8,chance1x2_quote_diffRealCurrx,-1.6180908263090303
9,underOver_quote_diffInitialCurrO,-1.6212463246263633
10,underOver_chance_under05HT,-1.646327085745002
11,underOver_chance_over05HT,-1.646327085745002
12,chance1x2_chance_p12,-1.6883047926380552
13,goalNoGoal_quote_currentNG,-1.704074127636875
14,chance1x2_quote_diffInitialCurr2,-1.7048894141417466
15,goalNoGoal_multigoal_m13Away,-1.725371595586627
16,goalNoGoal_quote_diffRealCurrGG,-1.7263193107220272
17,chance1x2_chance_px,-1.7550655790664416
18,underOver_quote_diffRealCurrU,-1.7697125010755796
19,goalNoGoal_quote_diffRealCurrNG,-1.7721873666954653
20,underOver_comparison_flashback,-1.7800179547392636
21,chance1x2_comparison_flashback,-1.793175565710837
22,goalNoGoal_multigoal_m35,-1.8908621343814846
23,chance1x2_quote_real1,-1.9195178515494156
24,goalNoGoal_multigoal_m24Home,-1.9241618359953303
25,underOver_chance_under25,-1.9341319860408683
26,underOver_chance_over25,-1.9341319860408683
27,goalNoGoal_quote_realGG,-1.9851864360908196
28,chance1x2_flashback_pHtx,-1.9974680872191186
29,chance1x2_quote_initial2,-2.004979824631771
30,underOver_comparison_affini,-2.013728600756386
31,goalNoGoal_flashback_m24,-2.0303411967633274
32,chance1x2_quote_realx,-2.057530526188876
33,underOver_quote_realO,-2.0583002744346204
34,goalNoGoal_quote_initialGG,-2.065657475465841
35,goalNoGoal_chance_goal,-2.0763722608430344
36,goalNoGoal_chance_noGoal,-2.0763722608430344
37,evaluation_valMetrica,-2.0834924894649047
38,chance1x2_quote_current1,-2.0958321575618517
39,goalNoGoal_comparison_affini,-2.1096648752381193
40,goalNoGoal_stats_avgGoalTakenHome,-2.1269255408237746
41,goalNoGoal_multigoal_m13Home,-2.171940836347388
42,goalNoGoal_comparison_flashback,-2.1828849556867613
43,chance1x2_quote_initial1,-2.1943976899821513
44,goalNoGoal_stats_avgGoalTakenAway,-2.1982029912268004
45,goalNoGoal_chance_goalHome,-2.2072170517607996
46,goalNoGoal_multigoal_m24,-2.2148560156536163
47,goalNoGoal_stats_avgGoalHome,-2.236946884242544
48,chance1x2_quote_diffRealCurr1,-2.3073766833600455
49,chance1x2_quote_diffInitialCurrx,-2.3179841672107604
50,chance1x2_quote_initialx,-2.3264299381638653
51,underOver_bookkeeping_actual,-2.338591151434206
52,goalNoGoal_stats_avgGoalAway,-2.345932477328969
53,goalNoGoal_quote_diffInitialCurrGG,-2.4023032636619823
54,goalNoGoal_multigoal_m14,-2.4720172722776996
55,goalNoGoal_chance_even,-2.481998722892865
56,goalNoGoal_chance_odd,-2.481998722892865
57,chance1x2_bookkeeping_p2,-2.56004845708634
58,underOver_quote_initialU,-2.5736076966439807
59,goalNoGoal_quote_currentGG,-2.5818650229331475
60,goalNoGoal_chance_goalAway,-2.588771705209254
61,underOver_chance_under15,-2.6031778981938105
62,chance1x2_flashback_p2,-2.633403622044206
63,goalNoGoal_multigoal_m24Away,-2.640651770553787
64,chance1x2_bookkeeping_p1,-2.645509214383222
65,chance1x2_chance_pHt2,-2.6982313501433817
66,chance1x2_chance_p2Ht1x,-2.6982313501433817
67,chance1x2_bookkeeping_px,-2.7109693109949826
68,chance1x2_flashback_pHt1,-2.732369777442413
69,chance1x2_quote_real2,-2.769743918374899
70,goalNoGoal_quote_realNG,-2.792210541853498
71,chance1x2_chance_p2,-2.8063613811647343
72,chance1x2_chance_p1x,-2.8063613811647343
73,chance1x2_chance_p2Ht12,-2.849080434290757
74,underOver_chance_over15HT,-2.8497608159591987
75,chance1x2_chance_pHtx,-2.8544576567330395
76,underOver_quote_currentU,-2.862121953927155
77,chance1x2_flashback_pHt2,-2.888263718299385
78,evaluation_val1x2,-3.0120827526054916
79,underOver_chance_over15,-3.04669175830983
80,chance1x2_quote_current2,-3.0624814143014074
81,goalNoGoal_bookkeeping_actual,-3.0879687898534853
82,underOver_bookkeeping_status,-3.1185475266708726
83,chance1x2_quote_currentx,-3.1985010548172776
84,goalNoGoal_bookkeeping_gg,-3.1985707809250243
85,goalNoGoal_bookkeeping_ng,-3.1985707809250243
86,chance1x2_flashback_p1,-3.2317306893432503
87,underOver_chance_under35,-3.233660398446779
88,underOver_chance_over35,-3.233660398446779
89,chance1x2_chance_p1,-3.2360566061291416
90,chance1x2_chance_p2x,-3.2360566061291416
91,goalNoGoal_quote_diffInitialCurrNG,-3.247610198880863
92,underOver_quote_realU,-3.2732733201186677
93,underOver_flashback_under15,-3.3035466470290857
94,underOver_flashback_over15,-3.3035466470290857
95,goalNoGoal_multigoal_m13,-3.3777545823098043
96,goalNoGoal_quote_initialNG,-3.384523640991552
97,underOver_chance_under15HT,-3.4200909306827074
98,chance1x2_chance_p2Ht2x,-3.494592862546694
99,chance1x2_chance_pHt1,-3.5791598548219365
100,underOver_chance_under052HT,-3.590349291516203
101,underOver_chance_over052HT,-3.590349291516203
102,underOver_chance_under45,-3.704260297640394
103,underOver_chance_over45,-3.704260297640394
104,underOver_flashback_over25,-4.293711314776697
105,evaluation_valUnderOver,-4.304786217355076
106,underOver_flashback_under25,-4.363032400111836
107,underOver_bookkeeping_avg,-4.430190389174543
108,chance1x2_bookkeeping_actual,-4.979740103445695
109,chance1x2_flashback_px,-5.01768922413404
110,underOver_flashback_under35,-5.433584946463919
111,underOver_flashback_over35,-5.433584946463919
112,goalNoGoal_bookkeeping_status,-5.613530467831698
113,evaluation_valScala,-5.660015124710821
114,underOver_flashback_under05HT,-5.678901654884389
115,underOver_flashback_over05HT,-5.678901654884389
116,goalNoGoal_flashback_goal,-5.927367633358644
117,goalNoGoal_flashback_noGoal,-5.927367633358644
118,goalNoGoal_flashback_m13,-6.292264882602054
119,chance1x2_bookkeeping_status,-6.5376652138010005
120,chance1x2_xg_away,-7.346720999325906
121,chance1x2_xg_total,-8.075298597283318
122,chance1x2_bookkeeping_avg,-8.335121452936967
123,goalNoGoal_bookkeeping_avg,-8.41795581954412
124,chance1x2_comparison_affini,-9.579085886518016
125,goalNoGoal_flashback_m35,-10.548382540341308
126,chance1x2_xg_home,-12.97252885666305
127,chance1x2_bookkeeping_arrow,-21.589074172533824
128,goalNoGoal_bookkeeping_arrow,-22.60212195896055
129,underOver_bookkeeping_arrow,-23.058409393697936
130,chance1x2_xg,-43.23315350545646
