,feature,score
0,chance1x2_flashback_p2,-0.6036519948416404
1,chance1x2_flashback_pHt2,-0.6654797875888105
2,chance1x2_quote_initial1,-0.7268547514020292
3,chance1x2_bookkeeping_p2,-0.7454158062352572
4,chance1x2_chance_p2x,-1.0118324263353926
5,chance1x2_chance_p2,-1.0301420700916861
6,chance1x2_chance_p1x,-1.0301420700916861
7,chance1x2_quote_current1,-1.201498857837283
8,chance1x2_quote_diffRealCurr1,-1.29129115864191
9,chance1x2_chance_pHt2,-1.3599885610256848
10,chance1x2_bookkeeping_p1,-1.364876498990831
11,chance1x2_quote_diffRealCurrx,-1.403545124827403
12,chance1x2_quote_real1,-1.4077575122625656
13,chance1x2_quote_diffInitialCurr1,-1.4144934925182042
14,chance1x2_chance_p2Ht1x,-1.4179677356840186
15,chance1x2_flashback_pHt1,-1.504597878582718
16,chance1x2_chance_p1,-1.5781236853383664
17,goalNoGoal_quote_initialNG,-1.7476345516164038
18,chance1x2_flashback_p1,-1.8888216139501346
19,goalNoGoal_comparison_flashback,-1.9377414189159448
20,goalNoGoal_multigoal_m24Away,-2.022327505871053
21,goalNoGoal_chance_goalHome,-2.0408241728054657
22,goalNoGoal_quote_currentNG,-2.2546580554277975
23,goalNoGoal_stats_avgGoalAway,-2.2687686058584937
24,underOver_quote_currentO,-2.274315044221376
25,goalNoGoal_comparison_affini,-2.375022541958371
26,goalNoGoal_bookkeeping_gg,-2.379619756739457
27,goalNoGoal_bookkeeping_ng,-2.379619756739457
28,chance1x2_chance_pHt1,-2.403282440387086
29,chance1x2_chance_p2Ht2x,-2.429883864813688
30,goalNoGoal_quote_diffRealCurrGG,-2.45827431358951
31,chance1x2_flashback_pHtx,-2.463040223239691
32,chance1x2_comparison_flashback,-2.4975243447199555
33,goalNoGoal_stats_avgGoalHome,-2.520237203315024
34,goalNoGoal_multigoal_m24Home,-2.5692473697230773
35,chance1x2_quote_diffRealCurr2,-2.6150004156275544
36,underOver_quote_diffInitialCurrU,-2.641653402336014
37,underOver_quote_realO,-2.667290585065242
38,underOver_quote_diffRealCurrO,-2.6723095873922573
39,goalNoGoal_multigoal_m13Away,-2.6791955340320928
40,underOver_quote_diffInitialCurrO,-2.7153868548895486
41,evaluation_val1x2,-2.7703142336286466
42,goalNoGoal_quote_realNG,-2.7780095266545026
43,goalNoGoal_flashback_m24,-2.788611572517091
44,evaluation_valMetrica,-2.8968731368635687
45,goalNoGoal_bookkeeping_avg,-2.942477080588409
46,chance1x2_chance_px,-2.980358754769787
47,chance1x2_chance_p12,-2.980358754769787
48,goalNoGoal_multigoal_m13,-3.0247120303128
49,goalNoGoal_stats_avgGoalTakenHome,-3.05561911411797
50,goalNoGoal_multigoal_m13Home,-3.1123818320747736
51,goalNoGoal_quote_realGG,-3.2047413786106795
52,chance1x2_quote_diffInitialCurr2,-3.2416364016798784
53,chance1x2_quote_diffInitialCurrx,-3.251371836874486
54,underOver_quote_diffRealCurrU,-3.3853378283002407
55,goalNoGoal_multigoal_m14,-3.4016094924800306
56,underOver_chance_under15,-3.4852824424571773
57,underOver_chance_over15,-3.5294094747172124
58,goalNoGoal_multigoal_m35,-3.5531175334871716
59,goalNoGoal_quote_diffRealCurrNG,-3.6442762273581306
60,underOver_bookkeeping_status,-3.6622575083941307
61,goalNoGoal_quote_diffInitialCurrGG,-3.6831402975867706
62,underOver_comparison_flashback,-3.73794374686729
63,goalNoGoal_stats_avgGoalTakenAway,-3.822855437601647
64,goalNoGoal_quote_diffInitialCurrNG,-3.9100202921409464
65,goalNoGoal_chance_goalAway,-3.934805560462709
66,underOver_chance_under052HT,-3.950396057118722
67,underOver_chance_over052HT,-3.950396057118722
68,underOver_bookkeeping_actual,-3.9614499099803986
